number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_gap_penalty,user_attrs_mean_gap,user_attrs_mean_val_acc,user_attrs_std_val,system_attrs_tpe:relative_params:0,state,mean_val_acc,mean_gap,std_val,gap_penalty
18,0.8337,2025-11-08 18:32:28.444155,2025-11-08 18:32:31.058154,0 days 00:00:02.613999,0.5485752703007695,0.0369328659080195,512,5,113,0.037931448191580945,0.09494026401667255,670,55,0.0003222864528968033,0.012273630375458193,0.6762877140012676,4,0.0,0.050550000000000025,0.8337,0.00471805044483417,,COMPLETE,0.8337,0.050550000000000025,0.00471805044483417,0.0
9,0.8335999999999999,2025-11-08 18:32:03.849157,2025-11-08 18:32:06.131154,0 days 00:00:02.281997,0.6101621116611917,0.036879682189932865,320,8,68,0.03387699947702843,0.2692615578635785,420,77,0.4295992790539123,0.0009083381663660585,0.5331732462806693,5,0.0,0.07302499999999998,0.8335999999999999,0.002576819745345021,,COMPLETE,0.8335999999999999,0.07302499999999998,0.002576819745345021,0.0
47,0.8335,2025-11-08 18:33:41.643159,2025-11-08 18:33:42.503154,0 days 00:00:00.859995,0.639338200962056,0.03320195116260435,256,6,71,0.030192476879288208,0.9636424149415825,670,77,0.1473364152373788,0.00017532310923048492,0.5642463652045328,2,,,,,"{""colsample_bytree"": 0.639338200962056, ""learning_rate"": 0.03320195116260435, ""max_bin"": 256, ""max_depth"": 6, ""min_child_samples"": 71, ""min_child_weight"": 0.030192476879288208, ""min_split_gain"": 0.9636424149415825, ""n_estimators"": 670, ""num_leaves"": 77, ""reg_alpha"": 0.1473364152373788, ""reg_lambda"": 0.00017532310923048492, ""subsample"": 0.5642463652045328, ""subsample_freq"": 2}",PRUNED,,,,
32,0.8335,2025-11-08 18:33:02.776155,2025-11-08 18:33:03.811169,0 days 00:00:01.035014,0.5091769143842896,0.034482780653326814,320,5,81,0.03480418227280313,0.4094765189217125,470,57,0.0002011861866246731,0.0431603995456575,0.6802967289334204,4,,,,,"{""colsample_bytree"": 0.5091769143842896, ""learning_rate"": 0.034482780653326814, ""max_bin"": 320, ""max_depth"": 5, ""min_child_samples"": 81, ""min_child_weight"": 0.03480418227280313, ""min_split_gain"": 0.4094765189217125, ""n_estimators"": 470, ""num_leaves"": 57, ""reg_alpha"": 0.0002011861866246731, ""reg_lambda"": 0.0431603995456575, ""subsample"": 0.6802967289334204, ""subsample_freq"": 4}",PRUNED,,,,
38,0.8333,2025-11-08 18:33:18.333155,2025-11-08 18:33:20.777159,0 days 00:00:02.444004,0.6148999618190193,0.03547541211177326,512,7,71,0.07089335315026754,0.022493164017964456,820,77,0.0010741506048076944,0.0001986264565032972,0.5118363390060899,5,0.0,0.06194999999999997,0.8333,0.0025416530054277547,"{""colsample_bytree"": 0.6148999618190193, ""learning_rate"": 0.03547541211177326, ""max_bin"": 512, ""max_depth"": 7, ""min_child_samples"": 71, ""min_child_weight"": 0.07089335315026754, ""min_split_gain"": 0.022493164017964456, ""n_estimators"": 820, ""num_leaves"": 77, ""reg_alpha"": 0.0010741506048076944, ""reg_lambda"": 0.0001986264565032972, ""subsample"": 0.5118363390060899, ""subsample_freq"": 5}",COMPLETE,0.8333,0.06194999999999997,0.0025416530054277547,0.0
14,0.8331999999999999,2025-11-08 18:32:17.753155,2025-11-08 18:32:20.137155,0 days 00:00:02.384000,0.6108519423831994,0.036271105715620346,384,7,117,0.05522380988600023,0.8036535656605528,520,91,0.15109330261674445,0.010245858939867321,0.6320804136735511,1,0.0,0.065375,0.8331999999999999,0.00401995024844836,,COMPLETE,0.8331999999999999,0.065375,0.00401995024844836,0.0
31,0.8331,2025-11-08 18:32:59.601158,2025-11-08 18:33:01.952156,0 days 00:00:02.350998,0.5275983844461135,0.041016984810322454,512,5,68,0.06614534162360612,0.29241418883325515,420,55,0.004453596733252776,0.0003137645095911131,0.6919829684942093,5,0.0,0.05934999999999999,0.8331,0.0035693136595149563,"{""colsample_bytree"": 0.5275983844461135, ""learning_rate"": 0.041016984810322454, ""max_bin"": 512, ""max_depth"": 5, ""min_child_samples"": 68, ""min_child_weight"": 0.06614534162360612, ""min_split_gain"": 0.29241418883325515, ""n_estimators"": 420, ""num_leaves"": 55, ""reg_alpha"": 0.004453596733252776, ""reg_lambda"": 0.0003137645095911131, ""subsample"": 0.6919829684942093, ""subsample_freq"": 5}",COMPLETE,0.8331,0.05934999999999999,0.0035693136595149563,0.0
13,0.833,2025-11-08 18:32:14.632155,2025-11-08 18:32:16.939154,0 days 00:00:02.306999,0.668014313532724,0.02909611642154433,256,9,103,0.03141713860855954,0.9446735741634921,470,75,0.0705857259090179,0.0008891936446296249,0.5744992846944699,4,0.0,0.065825,0.833,0.004171330722922861,,COMPLETE,0.833,0.065825,0.004171330722922861,0.0
42,0.833,2025-11-08 18:33:28.951157,2025-11-08 18:33:31.091157,0 days 00:00:02.140000,0.5803734987490556,0.049491404659464784,512,6,87,0.05228689364809734,1.0533666933868875,570,69,0.6160524178500846,0.006346562027564475,0.6630536718471198,1,,,,,"{""colsample_bytree"": 0.5803734987490556, ""learning_rate"": 0.049491404659464784, ""max_bin"": 512, ""max_depth"": 6, ""min_child_samples"": 87, ""min_child_weight"": 0.05228689364809734, ""min_split_gain"": 1.0533666933868875, ""n_estimators"": 570, ""num_leaves"": 69, ""reg_alpha"": 0.6160524178500846, ""reg_lambda"": 0.006346562027564475, ""subsample"": 0.6630536718471198, ""subsample_freq"": 1}",PRUNED,,,,
35,0.833,2025-11-08 18:33:10.479155,2025-11-08 18:33:11.277155,0 days 00:00:00.798000,0.5011152663659952,0.06750630429980048,512,7,110,0.0891888638071989,0.6504945286075426,720,73,0.04183124932889484,0.09744966502363706,0.698062963529564,1,,,,,"{""colsample_bytree"": 0.5011152663659952, ""learning_rate"": 0.06750630429980048, ""max_bin"": 512, ""max_depth"": 7, ""min_child_samples"": 110, ""min_child_weight"": 0.0891888638071989, ""min_split_gain"": 0.6504945286075426, ""n_estimators"": 720, ""num_leaves"": 73, ""reg_alpha"": 0.04183124932889484, ""reg_lambda"": 0.09744966502363706, ""subsample"": 0.698062963529564, ""subsample_freq"": 1}",PRUNED,,,,
