number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
13,0.8242499999999999,2025-11-05 18:42:50.708546,2025-11-05 18:43:11.588902,0 days 00:00:20.880356,0.8567007469161483,1.6133146805833547,0.03197502963839426,1,5,10,600,2.992783465304269,1.966248611093446,1.1765449602657396,0.7130110839533261,COMPLETE
14,0.8246249999999999,2025-11-05 18:43:12.269331,2025-11-05 18:43:30.553400,0 days 00:00:18.284069,0.9034547258038135,4.68780579683011,0.02312132217843175,1,6,11,500,2.9382767753182333,2.0421978865138835,1.2388933295249964,0.7230325803466241,COMPLETE
15,0.82225,2025-11-05 18:43:31.236542,2025-11-05 18:43:51.894785,0 days 00:00:20.658243,0.9432222395160801,4.7340246320678165,0.0151712579227375,1,6,20,500,2.840629561097668,2.0071518768116126,1.2582712497421664,0.8300008565146464,COMPLETE
16,0.8232500000000001,2025-11-05 18:43:52.646094,2025-11-05 18:44:11.317760,0 days 00:00:18.671666,0.8575129311419251,4.988495087539333,0.028558695669506837,1,6,10,500,2.895697553637584,2.048473269212008,1.271248062523568,0.7511931441382287,COMPLETE
17,0.8238749999999999,2025-11-05 18:44:12.089195,2025-11-05 18:44:31.686380,0 days 00:00:19.597185,0.8773229531204227,3.60493717481525,0.02767082156614392,0,5,24,650,2.973831588430798,1.8093418205620166,1.1225097918162374,0.8892676126726555,COMPLETE
18,0.8215,2025-11-05 18:44:32.482327,2025-11-05 18:44:53.038073,0 days 00:00:20.555746,0.8833122712961121,2.048882843573731,0.01739050672086931,2,6,10,450,2.165733163508535,4.677000146603142,1.2405261617842704,0.6941059053621013,COMPLETE
19,0.8238749999999999,2025-11-05 18:44:53.781586,2025-11-05 18:45:11.144309,0 days 00:00:17.362723,0.8283260391855465,4.458864236004067,0.023654653506604152,1,5,23,500,2.710126801799809,2.672814967861253,1.2181553821678128,0.7555306642298809,COMPLETE
20,0.819125,2025-11-05 18:45:11.911134,2025-11-05 18:45:38.907481,0 days 00:00:26.996347,0.8979804498107787,1.9911013339888295,0.03231451023336712,1,6,8,650,0.8446594897300965,1.5047384584595989,1.4509405510865168,0.8115673829700515,PRUNED
21,0.82225,2025-11-05 18:45:39.665323,2025-11-05 18:45:58.205087,0 days 00:00:18.539764,0.9052334246238277,3.7687551239617574,0.028783376813520126,0,5,27,650,2.903259752813619,1.8592926518568105,1.1232527019568757,0.8510666382764708,COMPLETE
22,0.820125,2025-11-05 18:45:58.956753,2025-11-05 18:46:18.603255,0 days 00:00:19.646502,0.8298037374715337,4.251787041818286,0.02251118534217706,0,5,33,700,2.92642973212369,2.55856076663361,1.1070724380501118,0.935858089269167,PRUNED
