mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.7398950099945067,0.009260006423972702,0.017022991180419923,0.0014136076261023656,0.7,0.3,0.05,3,3,500,0.2,2.0,1.25,0.8,"{'colsample_bytree': 0.7, 'gamma': 0.3, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 500, 'reg_alpha': 0.2, 'reg_lambda': 2.0, 'scale_pos_weight': 1.25, 'subsample': 0.8}",0.813125,0.835,0.815,0.835,0.816875,0.8230000000000001,0.009869460471575933,12
1.7563059329986572,0.05571900397936514,0.016716909408569337,0.0007541854088336049,0.7,0.1,0.07,3,7,500,0.1,4.0,1.0,0.8,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 7, 'n_estimators': 500, 'reg_alpha': 0.1, 'reg_lambda': 4.0, 'scale_pos_weight': 1.0, 'subsample': 0.8}",0.81375,0.83125,0.8162499999999999,0.834375,0.819375,0.8230000000000001,0.00826702788189325,12
2.4026816844940186,0.03520892181056435,0.02352585792541504,0.0046726153893203275,0.9,0.2,0.05,3,7,700,0.1,2.0,1.0,0.8,"{'colsample_bytree': 0.9, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 7, 'n_estimators': 700, 'reg_alpha': 0.1, 'reg_lambda': 2.0, 'scale_pos_weight': 1.0, 'subsample': 0.8}",0.8087500000000001,0.8325,0.818125,0.834375,0.82125,0.8230000000000001,0.009481890634256415,12
1.8180626392364503,0.014438650006962003,0.01882486343383789,0.0019364730640668189,0.9,0.2,0.05,3,3,500,0.2,2.0,1.25,0.7,"{'colsample_bytree': 0.9, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 500, 'reg_alpha': 0.2, 'reg_lambda': 2.0, 'scale_pos_weight': 1.25, 'subsample': 0.7}",0.8175,0.833125,0.821875,0.828125,0.8143750000000001,0.8230000000000001,0.006851094803022343,12
2.5080117702484133,0.022263543300638972,0.020423364639282227,0.0009752762111906148,0.9,0.1,0.03,3,3,700,0.05,3.0,1.0,0.8,"{'colsample_bytree': 0.9, 'gamma': 0.1, 'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 700, 'reg_alpha': 0.05, 'reg_lambda': 3.0, 'scale_pos_weight': 1.0, 'subsample': 0.8}",0.815,0.8300000000000001,0.821875,0.830625,0.8175,0.8230000000000001,0.006366415789123436,12
1.1165629863739013,0.035285707584594296,0.013019371032714843,0.0020773591718626864,0.7,0.2,0.07,3,3,300,0.1,3.0,1.0,0.7,"{'colsample_bytree': 0.7, 'gamma': 0.2, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 300, 'reg_alpha': 0.1, 'reg_lambda': 3.0, 'scale_pos_weight': 1.0, 'subsample': 0.7}",0.815,0.8362499999999999,0.819375,0.8262499999999999,0.8175,0.822875,0.007660776723022266,18
1.4448936462402344,0.031187923823309177,0.013015842437744141,0.00044605860864664176,0.8,0.2,0.05,4,3,300,0.2,4.0,1.0,0.8,"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 300, 'reg_alpha': 0.2, 'reg_lambda': 4.0, 'scale_pos_weight': 1.0, 'subsample': 0.8}",0.815,0.8375,0.81875,0.8275,0.815625,0.822875,0.008565920849505922,18
2.4120728969573975,0.03536230041238042,0.021526575088500977,0.0018480612759277342,0.9,0.2,0.05,3,3,700,0.05,3.0,1.0,0.9,"{'colsample_bytree': 0.9, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 700, 'reg_alpha': 0.05, 'reg_lambda': 3.0, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.815,0.833125,0.82125,0.826875,0.818125,0.822875,0.0064541653217128105,18
3.1040013313293455,0.07592732630958698,0.023608922958374023,0.001215185486188647,0.9,0.3,0.03,4,7,700,0.1,4.0,1.25,0.8,"{'colsample_bytree': 0.9, 'gamma': 0.3, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 7, 'n_estimators': 700, 'reg_alpha': 0.1, 'reg_lambda': 4.0, 'scale_pos_weight': 1.25, 'subsample': 0.8}",0.806875,0.8356250000000001,0.81875,0.83375,0.819375,0.822875,0.010640429972515224,18
2.2886107921600343,0.030748116232381287,0.020624542236328126,0.0008015169763447925,0.7,0.3,0.05,3,7,700,0.2,3.0,1.0,0.9,"{'colsample_bytree': 0.7, 'gamma': 0.3, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 7, 'n_estimators': 700, 'reg_alpha': 0.2, 'reg_lambda': 3.0, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.8125,0.8325,0.8187500000000001,0.8318749999999999,0.818125,0.8227500000000001,0.008009759671800376,22
