number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_mean_gap,user_attrs_mean_val_acc,user_attrs_std_val,state,mean_val_acc,mean_gap,std_val
359,0.835,2025-11-08 15:22:27.888544,2025-11-08 15:22:32.513556,0 days 00:00:04.625012,0.515059970854128,0.012210110928925313,320,11,37,0.04587454036003256,0.5686972476462644,1700,92,8.683593348129683e-08,1.2492969409765654e-06,0.5417287081510818,3,,,,PRUNED,,,
364,0.835,2025-11-08 15:22:49.831555,2025-11-08 15:22:53.164071,0 days 00:00:03.332516,0.6668911588659869,0.011459472504086306,320,3,23,0.04880388373899644,0.48572512605454354,1700,87,1.4915577895853303e-07,1.8294371979628624e-07,0.5896397430349443,3,,,,PRUNED,,,
225,0.835,2025-11-08 15:09:29.890558,2025-11-08 15:09:35.516566,0 days 00:00:05.626008,0.5365260440811919,0.012222943429424739,384,3,38,0.08962860592432875,0.6828701958213621,1700,143,3.9472541452650327e-07,9.188261656981787e-07,0.5644329970052625,3,0.02512500000000002,0.835,0.0038078865529319397,COMPLETE,0.835,0.02512500000000002,0.0038078865529319397
292,0.8345,2025-11-08 15:15:59.995932,2025-11-08 15:16:01.357929,0 days 00:00:01.361997,0.5231111592459641,0.05115399562197896,384,3,36,0.1388287208890767,0.6027138829703944,1800,78,1.0148513094681439e-07,4.911199611040532e-07,0.5703677589183199,3,,,,PRUNED,,,
340,0.8345,2025-11-08 15:20:32.847700,2025-11-08 15:20:34.694700,0 days 00:00:01.847000,0.527906684828543,0.010008233565336245,448,3,40,0.12433939808830174,0.6884699385348761,700,140,0.5301562837079292,2.689578324346465e-07,0.5474996489289268,3,,,,PRUNED,,,
260,0.8345,2025-11-08 15:12:58.628587,2025-11-08 15:13:00.048589,0 days 00:00:01.420002,0.533202803771753,0.04434585812554933,320,3,35,0.01947340720206716,0.6265748467350162,600,85,8.38048826083166e-08,1.7114082762546442e-07,0.5825986424265273,3,,,,PRUNED,,,
198,0.8343,2025-11-08 15:06:46.406922,2025-11-08 15:06:51.436921,0 days 00:00:05.029999,0.5269177259734038,0.01254820972382361,384,3,35,0.08512632620763837,0.759117083348682,1700,149,7.829986704672776e-08,4.259569740210638e-08,0.5643415992575662,3,0.026974999999999992,0.8343,0.0043657759905886126,COMPLETE,0.8343,0.026974999999999992,0.0043657759905886126
218,0.8341999999999998,2025-11-08 15:08:47.625547,2025-11-08 15:08:53.893550,0 days 00:00:06.268003,0.524236291423741,0.010451659224572675,384,3,38,0.0597233385973813,0.7395734258000484,1700,146,1.9177951388767263e-07,2.690429020777585e-07,0.5827807293268024,3,0.02570000000000001,0.8341999999999998,0.0033852621759621663,COMPLETE,0.8341999999999998,0.02570000000000001,0.0033852621759621663
269,0.8341999999999998,2025-11-08 15:13:51.796108,2025-11-08 15:13:57.470109,0 days 00:00:05.674001,0.542059865334243,0.01050844041094007,320,3,38,0.024684745849261638,0.8097533333616933,1700,142,6.194532442236589e-08,1.6895973310613586e-07,0.5702339457085542,3,0.026900000000000035,0.8341999999999998,0.004354308211415452,COMPLETE,0.8341999999999998,0.026900000000000035,0.004354308211415452
197,0.834,2025-11-08 15:06:40.580919,2025-11-08 15:06:45.605924,0 days 00:00:05.025005,0.5246357966735404,0.012730081809873554,384,3,35,0.07964377989264272,0.692273409088843,1700,149,2.574593906444408e-07,3.678033639734162e-08,0.5675509791338399,3,0.02642500000000001,0.834,0.0040373258476372655,COMPLETE,0.834,0.02642500000000001,0.0040373258476372655
