number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_bin,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_fixed_params,state
13,0.825,2025-11-06 23:50:02.041713,2025-11-06 23:50:04.737169,0 days 00:00:02.695456,0.9708876675717859,0.8976421601380132,0.8899371640050817,0.41799289753679125,0.01764099062802981,412,1,4,13,948,0.5820797955818061,8.90679628710091,0.5548709527101245,,COMPLETE
22,0.8245,2025-11-06 23:50:25.855316,2025-11-06 23:50:28.585806,0 days 00:00:02.730490,0.9278106022909172,0.6037702251823018,0.793078678587833,0.3853323134890955,0.0279194366858868,393,3,4,11,1008,0.24652558116317103,10.835591370237301,0.8392189563427166,,COMPLETE
36,0.8245,2025-11-06 23:51:05.326219,2025-11-06 23:51:07.043821,0 days 00:00:01.717602,0.9933372307039863,0.7173834193664125,0.7073526050654216,0.47837579530618335,0.017696241824102746,432,0,2,11,966,0.284881771579538,8.35933539639973,0.7080111782039765,,COMPLETE
49,0.8245,2025-11-06 23:51:42.019978,2025-11-06 23:51:43.502043,0 days 00:00:01.482065,0.8443833840761443,0.6554322052439002,0.7076660390172161,0.4929037014539197,0.030388051898137054,399,4,2,12,894,0.5598765826950408,14.33945850158953,0.8263812711635129,,COMPLETE
32,0.8245,2025-11-06 23:50:56.494712,2025-11-06 23:50:57.930455,0 days 00:00:01.435743,0.8819860528825318,0.5089542943072007,0.8059940570314775,0.6078185730837715,0.017838391848022155,262,1,2,15,1011,0.31226987034920634,12.54897821842771,0.7853111122027194,,COMPLETE
6,0.8245,2025-11-06 23:49:41.994412,2025-11-06 23:49:43.299560,0 days 00:00:01.305148,0.6758907709476152,0.5577440224186132,0.5560013993607453,0.6580562009798354,0.015584758086674678,198,3,3,14,772,0.28708691675932585,13.190673762345009,0.8961858197838287,,COMPLETE
16,0.8245,2025-11-06 23:50:11.435526,2025-11-06 23:50:13.575197,0 days 00:00:02.139671,0.8577806267749256,0.848548556384197,0.6408208534970825,0.5794282054190651,0.010377327039659549,189,3,4,11,1033,0.317273888656067,5.042600704123307,0.5573922803488951,,COMPLETE
2,0.824,2025-11-06 23:49:31.386272,2025-11-06 23:49:32.972593,0 days 00:00:01.586321,0.6412641535530137,0.8981761930224601,0.864766689287175,0.26432776350546017,0.058588342660541505,433,2,2,5,1075,0.5487283159585304,5.491624100942104,0.5201849961848604,,COMPLETE
31,0.824,2025-11-06 23:50:54.128418,2025-11-06 23:50:55.739105,0 days 00:00:01.610687,0.9604480445658062,0.5964482315789056,0.8284368123430704,0.5297184883817323,0.014201169923058114,321,1,2,15,1042,0.3564341936401978,13.671099650482617,0.8193843874721138,,COMPLETE
11,0.824,2025-11-06 23:49:55.560984,2025-11-06 23:49:57.978021,0 days 00:00:02.417037,0.9022868695194126,0.8199113620908142,0.7820963773721878,0.34740273713640746,0.021910031928754587,363,3,4,12,981,0.5995977729369859,7.927135841069047,0.500997484782991,,COMPLETE
12,0.824,2025-11-06 23:49:58.705103,2025-11-06 23:50:01.314528,0 days 00:00:02.609425,0.8922468402573281,0.8048946358360277,0.7866620526137165,0.3927624331817231,0.02350172271317825,330,4,4,12,980,0.47574104233157494,5.992997180875783,0.5943926275573392,,COMPLETE
24,0.8235,2025-11-06 23:50:32.961029,2025-11-06 23:50:35.010471,0 days 00:00:02.049442,0.987363166221956,0.7414330710245162,0.8362607255479276,0.4507742289100171,0.014651865777200495,295,0,3,10,866,0.4341993204978584,6.754691313476613,0.675054082748384,,COMPLETE
19,0.8235,2025-11-06 23:50:18.638582,2025-11-06 23:50:20.179898,0 days 00:00:01.541316,0.8623368191555644,0.6457730453255128,0.643113776096649,0.45276630170791,0.04002394553889389,206,1,3,14,939,0.2582170779000309,11.60538939878262,0.6738830450107247,,COMPLETE
21,0.823,2025-11-06 23:50:23.233639,2025-11-06 23:50:25.074805,0 days 00:00:01.841166,0.9026082659512672,0.7747419303815859,0.7576980671687085,0.357254886872706,0.019852796823646685,336,2,3,13,940,0.41211497819014226,8.540673719086467,0.7371661819244653,,COMPLETE
3,0.823,2025-11-06 23:49:33.725588,2025-11-06 23:49:35.428413,0 days 00:00:01.702825,0.9985642153294361,0.5540950302579799,0.5426086911496627,0.7110475118678332,0.010529967743918466,130,5,5,15,731,0.20525612628712334,14.65337946065455,0.8422337139158931,,COMPLETE
34,0.8225,2025-11-06 23:51:00.420705,2025-11-06 23:51:02.160248,0 days 00:00:01.739543,0.9813631256703983,0.550347950780187,0.8566884246035268,0.27732809483526055,0.027124984690207694,284,0,2,15,1097,0.40830837036593187,13.823072622394873,0.8666970030710195,,COMPLETE
25,0.8225,2025-11-06 23:50:35.732581,2025-11-06 23:50:38.178089,0 days 00:00:02.445508,0.8423657066243853,0.6803533550982502,0.7674633649829914,0.3841895800179522,0.030895420756839494,347,5,4,13,966,0.34777756330417275,7.915015807076238,0.6195867720326407,,COMPLETE
4,0.8225,2025-11-06 23:49:36.159524,2025-11-06 23:49:37.051608,0 days 00:00:00.892084,0.787308666528242,0.727684455145088,0.7208673405398668,0.48616098083360076,0.03313607799416753,305,0,1,10,896,0.3799406054337648,10.302316000991786,0.6336701687776085,,COMPLETE
38,0.8225,2025-11-06 23:51:09.855583,2025-11-06 23:51:13.065561,0 days 00:00:03.209978,0.7746256325471543,0.5760528314974878,0.583437219401962,0.7482672034634053,0.031237332934545715,343,2,5,13,1022,0.54871740827158,11.139516542827163,0.6451744935197238,,COMPLETE
29,0.8225,2025-11-06 23:50:49.262106,2025-11-06 23:50:51.114564,0 days 00:00:01.852458,0.8289901619244561,0.6739806446125416,0.7227936578023534,0.46521424203748957,0.03810739245486754,251,1,4,9,807,0.25659614043461176,9.678670468777737,0.701936154441081,,COMPLETE
44,0.822,2025-11-06 23:51:29.112069,2025-11-06 23:51:30.259240,0 days 00:00:01.147171,0.9700159928145884,0.8207354462900643,0.7883033840754209,0.36287977209858585,0.02234882611279579,357,1,1,8,960,0.46895197293534097,7.379886345673161,0.5659850063130013,,COMPLETE
39,0.8215,2025-11-06 23:51:13.777581,2025-11-06 23:51:15.858604,0 days 00:00:02.081023,0.9199957084011516,0.6182488140605673,0.6830832356619286,0.3634288114704128,0.0540970609645624,306,0,3,14,1051,0.33324253790233205,10.014506818493428,0.8419596580422526,,COMPLETE
28,0.8215,2025-11-06 23:50:45.203646,2025-11-06 23:50:48.513831,0 days 00:00:03.310185,0.9571279839707805,0.5918097880547311,0.6572680132666904,0.4065997023954557,0.036770283337387924,383,3,5,14,1059,0.4347342882491866,7.430069541491518,0.7694873507738675,,COMPLETE
5,0.8215,2025-11-06 23:49:37.789251,2025-11-06 23:49:41.257357,0 days 00:00:03.468106,0.8238463572387134,0.7065206662627888,0.6931447349379222,0.5002896690347844,0.05132173996798651,446,4,5,7,1033,0.5103299544198501,7.132833356311223,0.7480549387959301,,COMPLETE
8,0.8195,2025-11-06 23:49:47.437554,2025-11-06 23:49:48.550339,0 days 00:00:01.112785,0.7267626635152488,0.6344984789779685,0.6176614901833262,0.5990483200027006,0.025276362353724567,511,2,1,8,827,0.3193212198876563,12.013996257570197,0.8070415171190455,,COMPLETE
37,0.8195,2025-11-06 23:51:07.786949,2025-11-06 23:51:09.111586,0 days 00:00:01.324637,0.6284198784332296,0.6935628608666784,0.7551977169812151,0.5167590177622825,0.02270293714187802,362,1,1,8,1068,0.38137154947784513,12.98747091091306,0.753027864531497,,COMPLETE
14,0.8195,2025-11-06 23:50:05.458791,2025-11-06 23:50:08.711284,0 days 00:00:03.252493,0.8631851197538537,0.7715407250186762,0.7592104192075209,0.2976646329847751,0.029687202461133985,271,2,5,11,1088,0.45612668913288545,6.757523620398064,0.6351819929436423,,COMPLETE
7,0.819,2025-11-06 23:49:44.037047,2025-11-06 23:49:46.701981,0 days 00:00:02.664934,0.9352317373142313,0.8239398842218817,0.8136965453522745,0.3506818104614414,0.042644233465294355,358,0,4,12,990,0.4615535851701884,7.843601868522235,0.6042708667303991,,COMPLETE
33,0.8175,2025-11-06 23:50:58.647538,2025-11-06 23:50:59.640267,0 days 00:00:00.992729,0.9515645852903627,0.5079211126769085,0.8689395574898171,0.5411056124983253,0.020833445183300877,316,1,1,14,885,0.3642436401336262,14.620007090596054,0.7276788828451599,,COMPLETE
