train_size,train_mean_acc,train_std,val_mean_acc,val_std
640,0.99375,0.0017116329922036684,0.7835,0.014698001564838666
2080,0.9291346153846154,0.003049759909068009,0.8089999999999999,0.006526388741103315
3520,0.89875,0.0036141008849520867,0.814875,0.010557876206889362
4960,0.8836693548387096,0.0023511902801795505,0.818375,0.011730036231828082
6400,0.87215625,0.0021749640801631753,0.8231249999999999,0.008678277478854904
