feature,shap_importance,importance,shap_norm,lgbm_norm,diff
damage_per_turn_diff,0.11847131173753775,345,0.012376394470596744,0.015728288124002735,0.0033518936534059907
tl_move_type_ground_count_diff,0.05649064448596736,57,0.00590143292753841,0.0025985867335308866,0.003302846194007523
tl_p1_inflicted_slp_count,0.014649633669233306,106,0.00153040970409648,0.004832459539548667,0.003302049835452187
tl_p2_est_damage,0.08065536017448409,257,0.008425858877117387,0.01171643492135856,0.003290576044241173
tl_p1_move_type_electric_count,0.01898692200993719,112,0.0019835151069993733,0.005105994985183496,0.003122479878184123
tl_p1_inflicted_par_count,0.07981825542534855,115,0.00833840868823568,0.005242762708000912,0.0030956459802347685
tl_p2_move_type_ice_count,0.020140017347088597,114,0.002103976023194916,0.005197173467061773,0.003093197443866857
p1_base_spe_sum,0.016952755896415084,106,0.0017710109836767195,0.004832459539548667,0.0030614485558719475
p1_total_offense,0.02728963930691741,128,0.0028508787154392303,0.005835422840209711,0.0029845441247704804
tl_p1_move_type_water_count,0.03551551598968461,17,0.0037102149817410165,0.0007750170959653522,0.0029351978857756643
tl_last5_damage_diff,0.14091370004364176,386,0.01472089329031095,0.01759744700250741,0.0028765537121964602
p2_tl_unique_move_types,0.041422265948863335,38,0.004327278019718792,0.0017323911556872578,0.002594886864031534
tl_inflicted_slp_rate_diff,0.03985841160356659,35,0.0041639061621096835,0.0015956234328698426,0.002568282729239841
p1_base_spa_std,0.07576618462037,229,0.007915099230699616,0.010439936175062685,0.0025248369443630694
tl_p2_damage_per_turn,0.04265329031200138,153,0.004455879981642407,0.00697515386368817,0.0025192738820457626
tl_p2_last5_damage_ratio,0.1384349960300529,372,0.014461949431261004,0.01695919762935947,0.0024972481980984652
p1_weak_count_vs_lead,0.027520783420811785,10,0.0028750257489375255,0.00045589240939138365,0.002419133339546142
tl_move_type_psychic_count_diff,0.07493133823603047,224,0.007827884967403302,0.010211989970366993,0.002384105002963691
tl_inflicted_frz_rate_diff,0.03794256310122622,36,0.003963762376554269,0.001641212673808981,0.0023225497027452875
tl_p2_move_type_flying_count,0.02481938346381956,7,0.002592817415120324,0.0003191246865739685,0.002273692728546355
momentum_stability,0.028835586823948815,17,0.003012379892568156,0.0007750170959653522,0.002237362796602804
p2_tl_coverage_score,0.09839420073971462,177,0.010278990112573726,0.00806929564622749,0.002209694466346236
p1_spe_p50,0.04066714384823335,45,0.004248392348126273,0.0020515158422612263,0.0021968765058650464
tl_p2_move_type_ghost_count,0.024852450806904538,9,0.002596271875749754,0.00041030316845224525,0.0021859687072975087
tl_p1_move_type_grass_count,0.03605127048946433,35,0.0037661838819871853,0.0015956234328698426,0.0021705604491173425
p1_type_psychic_count,0.03358670305466617,31,0.0035087168351123767,0.0014132664691132893,0.0020954503659990874
tl_damage_adv_sign_flips,0.014463125839243206,79,0.0015109257088409343,0.0036015500341919308,0.0020906243253509963
p1_base_hp_std,0.12495923840185394,243,0.01305417155026453,0.011078185548210622,0.001975986002053908
lead_diff_base_spa,0.029400036367804187,110,0.0030713464905659815,0.00501481650330522,0.0019434700127392381
p1_spe_p25,0.003807679951558536,47,0.000397778571091312,0.002142694324139503,0.0017449157530481912
p2_tl_unique_moves_used,0.036067222533037006,120,0.003767850351117746,0.0054707089126966035,0.0017028585615788574
p1_avg_bulk_vs_lead,0.11078651016964758,291,0.011573582935571482,0.013266469113289263,0.0016928861777177808
p1_max_stat_product,0.0,37,0.0,0.0016868019147481194,0.0016868019147481194
p1_tl_coverage_score,0.08484440549824454,231,0.00886347771176764,0.010531114656940961,0.0016676369451733217
tl_p1_inflicted_slp_rate,0.0,36,0.0,0.001641212673808981,0.001641212673808981
tl_move_type_fire_count_diff,0.0,35,0.0,0.0015956234328698426,0.0015956234328698426
tl_p2_move_type_normal_count,0.06347506585495123,180,0.006631077537221756,0.008206063369044905,0.0015749858318231495
tl_p1_inflicted_frz_rate,0.021236815070363988,16,0.0022185556718762904,0.0007294278550262138,0.0014891278168500765
lead_diff_base_def,0.04819460041736151,78,0.005034766454173216,0.0035559607932527924,0.0014788056609204236
tl_p1_last_hp,0.15035365811210918,376,0.015707061529083195,0.017141554593116025,0.0014344930640328296
p1_base_spe_min,0.014239748261410957,2,0.0014875900254709125,9.117848187827673e-05,0.0013964115435926357
p1_base_atk_mean,0.013068243155782127,60,0.0013652058879195217,0.0027353544563483018,0.00137014856842878
p1_base_hp_min,0.017413157777584516,10,0.0018191079888739048,0.00045589240939138365,0.001363215579482521
lead_diff_base_spe,0.03973460996468446,120,0.0041509729220160305,0.0054707089126966035,0.001319735990680573
p1_type_entropy,0.019027554979765417,71,0.0019877599292751668,0.0032368361066788236,0.0012490761774036569
p1_base_spd_std,0.033526549248954006,103,0.003502432721114798,0.004695691816731251,0.0011932590956164535
p1_base_atk_sum,0.04053443142708511,119,0.004234528221434426,0.005425119671757466,0.0011905914503230397
p1_type_electric_count,0.0132837315486093,5,0.0013877174083403677,0.00022794620469569182,0.001159771203644676
tl_p2_inflicted_par_rate,0.026198331188521485,35,0.0027368725517178815,0.0015956234328698426,0.0011412491188480388
tl_p1_move_type_ice_count,0.021720151744394685,74,0.002269048616135763,0.003373603829496239,0.0011045552133604757
p1_base_spe_max,0.012321377438343108,5,0.001287182739530073,0.00022794620469569182,0.0010592365348343813
tl_first2_damage_diff,0.026206333178470455,83,0.002737708499110594,0.0037839069979484843,0.0010461984988378902
p1_tl_unique_move_types,0.020737148595365875,25,0.002166356795138862,0.0011397310234784591,0.0010266257716604027
lead_diff_base_spd,0.010846278058968139,46,0.0011330828858632,0.0020971050832003647,0.0009640221973371648
tl_p2_move_type_fire_count,0.0,21,0.0,0.0009573740597219057,0.0009573740597219057
tl_move_type_ghost_count_diff,0.01747506101298651,61,0.0018255748613099812,0.00278094369728744,0.000955368835977459
tl_comeback_flag,0.011652967477490556,6,0.00121735566306523,0.0002735354456348302,0.0009438202174303998
p1_avg_effectiveness_vs_lead,0.01877388454106042,23,0.001961259628325535,0.0010485525416001824,0.0009127070867253528
tl_p2_damage_last5,0.13983157143149513,340,0.014607846086093976,0.015500341919307043,0.0008924958332130663
tl_p1_move_type_ground_count,0.016695656338408568,19,0.0017441524514174155,0.0008661955778436289,0.0008779568735737866
p1_base_hp_sum,0.06451604642931065,167,0.006739826111332617,0.007613403236836107,0.0008735771255034899
